uname,text,date,language,reply,likes,reply_count,view_count,retweet_count
tanyarlfes,💚 guyss serius nanyaa… aku gabut dan lg sedih jd pengen ngobrol sm org random. tadi iseng main bot anon di tel3 tp isiny gajelas semua. rekomen apk atau apa gt dong yg org orgnya jelas.,2024-07-21 13:03:24+00:00,in,,197,40,40079,6
tanyarlfes,💚 main tap2 poll yuk https://t.co/Rj6MWJ4x6Y,2024-07-21 12:05:35+00:00,in,,1498,620,342861,62
tanyarlfes,"💚 guys emg bener ya flight pake maskapai dr l**n group tu harus wrapping koper kalo pake koper fiber?
ntar lg mau flight pake itu soalnya😓",2024-07-21 12:04:56+00:00,in,,4,7,10109,0
tanyarlfes,💚 semi daily use buat rambut panjang mending yang mana ya guys? thank youuu https://t.co/nBMvx55ed4,2024-07-21 12:04:41+00:00,in,,19,16,11009,2
tanyarlfes,"💚 tanya dong aku bukan ip user, tp rencananya kalo udah ada rezeki pgn upgrade ke ip buat sambilan kerja (ngonten). Kalau mau beli online di lzd mending mana ya antara dua store ini? Yg toko ibox ini ori kan ya soalnya aku cek harga ip 13 di website selisihnya (cont) https://t.co/mJEnzyIC0P",2024-07-22 11:11:53+00:00,in,,27,21,11342,2
tanyarlfes,"💚 mau nanya dong buat kalian yang ngojol, kalau misalnya dapet customer yang minta tolong buat step-in motor karena mogok/minta temenin pulang krna takut pulang sendirian mau gak? Atau cancel? Sender penasaran hehe, tia 💗",2024-07-22 10:46:20+00:00,in,,8,7,6839,0
tanyarlfes,💚 ayo kasih tau sender lagu apa lagi yang harus ada di playlist iniii 😎 https://t.co/rqqejVdTMk,2024-07-22 09:58:19+00:00,in,,92,44,18243,7
tanyarlfes,"pernah ga nangis kangenin seseorang? kapan terakhir kali ngerasain itu? 

💚",2024-07-22 09:57:49+00:00,in,,204,258,38806,12
tanyarlfes,"Cowo sekarang masih ada yang mau sama cewe kulit sawo matang gak ? Lebih gelap dr kamu?

💚",2024-07-22 09:57:14+00:00,in,,99,51,27352,2
tanyarlfes,"sender masih sakit hati, kmren jalan sm cowo, trnyta dia cm nafsu aja, tp kmren dia ga ngomong apa2 cm td pagi doang dia ngomong klo dia itu nafsuan, trus sudahlah berakhir, sedih bgt gmn ya masalahnya itu first time sender jalan sm cowo 😞

💚",2024-07-22 09:56:31+00:00,in,,41,30,11685,1
tanyarlfes,"Tanyarl Aku beli papeda, pas nunggu ga sengaja liat di adonan telurnya kaya ada lalatnya.😭 soalnya diwarung belakangnya banyak lalat. Mending makan ga?😭 https://t.co/0WnfXxH17N",2024-07-22 09:47:45+00:00,in,,51,65,24258,2
tanyarlfes,💚 Nomor WA bisnis bisa diubah jadi wa pribadi nggak? Ada yang tau caranya? Tanpa ngeformat chatnya 🙇🏻‍♀️🙏🏻,2024-07-22 09:07:11+00:00,in,,11,15,12466,0
tanyarlfes,"💚 sekarang berasa lega &amp; enteng banget ambil keputusan ini. Biasanya bangun tidur habis bertengkar sedih/sembab, sekarang enteng dan gk kepikiran lagi https://t.co/nxAifL1FUT",2024-07-22 07:48:57+00:00,in,,598,46,25721,27
tanyarlfes,ayo kita tmnan yuk guyss!! 💚 https://t.co/NJSHjsHiwD,2024-07-22 04:32:24+00:00,in,,327,453,63919,43
tanyarlfes,"💚 Ruby udah klarif minta maap aja, sebelum dicari Abidzar sering banget reply Asbun ke org org di X, ngatain orang orang di X seenak jidat 🥲, yang 1 Arkan belom menampakkan diri, sepertinya pengen dijemput Abidzar 🥴 https://t.co/kNk20pf9L2",2024-07-22 04:22:50+00:00,in,,1819,93,118290,65
tanyarlfes,💚 cowo kalo dia on wa tapi gabales chat kita itu kira2 dia ngapain ya? diluar jam kerja yah ini. plis yg positif thinking😭🙏,2024-07-21 17:35:37+00:00,in,,234,197,66708,8
tanyarlfes,"💚 rencananya sender mau keretaan PP ke Surabaya, tepatnya turun di Pasar Turi. Selisih waktu turun dan berangkat lagi sekitar 2,5jam.
Dalam 2jam mungkin ada rekomendasi tempat/kuliner dekat stasiun?",2024-07-21 16:24:50+00:00,in,,24,7,17221,1
tanyarlfes,"💚 akhirnya nikah tinggal bentar lagi bisa kelar juga nyicil seserahan hampir setaun cari diskonan huhu, maaf kalo ada produk boyc soalnya nyicil dari taun kemarin 🥹🙏 https://t.co/5IPfWHtkvu",2024-07-21 13:39:26+00:00,in,,10818,352,814584,568
tanyarlfes,💚 ah gila gila gubernur masa gitu ? https://t.co/6mxjOSAktz,2024-07-21 13:33:12+00:00,in,,3138,620,212251,237
tanyarlfes,💚 guyss serius nanyaa… aku gabut dan lg sedih jd pengen ngobrol sm org random. tadi iseng main bot anon di tel3 tp isiny gajelas semua. rekomen apk atau apa gt dong yg org orgnya jelas.,2024-07-21 13:03:24+00:00,in,,197,40,40079,6
tanyarlfes,💚 main tap2 poll yuk https://t.co/Rj6MWJ4x6Y,2024-07-21 12:05:35+00:00,in,,1498,620,342861,62
tanyarlfes,"💚 guys emg bener ya flight pake maskapai dr l**n group tu harus wrapping koper kalo pake koper fiber?
ntar lg mau flight pake itu soalnya😓",2024-07-21 12:04:56+00:00,in,,4,7,10109,0
tanyarlfes,💚 semi daily use buat rambut panjang mending yang mana ya guys? thank youuu https://t.co/nBMvx55ed4,2024-07-21 12:04:41+00:00,in,,19,16,11009,2
tanyarlfes,"💚 tanya dong aku bukan ip user, tp rencananya kalo udah ada rezeki pgn upgrade ke ip buat sambilan kerja (ngonten). Kalau mau beli online di lzd mending mana ya antara dua store ini? Yg toko ibox ini ori kan ya soalnya aku cek harga ip 13 di website selisihnya (cont) https://t.co/mJEnzyIC0P",2024-07-22 11:11:53+00:00,in,,27,21,11342,2
tanyarlfes,"💚 mau nanya dong buat kalian yang ngojol, kalau misalnya dapet customer yang minta tolong buat step-in motor karena mogok/minta temenin pulang krna takut pulang sendirian mau gak? Atau cancel? Sender penasaran hehe, tia 💗",2024-07-22 10:46:20+00:00,in,,8,7,6839,0
tanyarlfes,💚 ayo kasih tau sender lagu apa lagi yang harus ada di playlist iniii 😎 https://t.co/rqqejVdTMk,2024-07-22 09:58:19+00:00,in,,92,44,18262,7
tanyarlfes,"pernah ga nangis kangenin seseorang? kapan terakhir kali ngerasain itu? 

💚",2024-07-22 09:57:49+00:00,in,,204,258,38806,12
tanyarlfes,"Cowo sekarang masih ada yang mau sama cewe kulit sawo matang gak ? Lebih gelap dr kamu?

💚",2024-07-22 09:57:14+00:00,in,,99,51,27352,2
tanyarlfes,"sender masih sakit hati, kmren jalan sm cowo, trnyta dia cm nafsu aja, tp kmren dia ga ngomong apa2 cm td pagi doang dia ngomong klo dia itu nafsuan, trus sudahlah berakhir, sedih bgt gmn ya masalahnya itu first time sender jalan sm cowo 😞

💚",2024-07-22 09:56:31+00:00,in,,41,30,11685,1
tanyarlfes,"Tanyarl Aku beli papeda, pas nunggu ga sengaja liat di adonan telurnya kaya ada lalatnya.😭 soalnya diwarung belakangnya banyak lalat. Mending makan ga?😭 https://t.co/0WnfXxH17N",2024-07-22 09:47:45+00:00,in,,51,65,24258,2
tanyarlfes,💚 Nomor WA bisnis bisa diubah jadi wa pribadi nggak? Ada yang tau caranya? Tanpa ngeformat chatnya 🙇🏻‍♀️🙏🏻,2024-07-22 09:07:11+00:00,in,,11,15,12466,0
tanyarlfes,"💚 sekarang berasa lega &amp; enteng banget ambil keputusan ini. Biasanya bangun tidur habis bertengkar sedih/sembab, sekarang enteng dan gk kepikiran lagi https://t.co/nxAifL1FUT",2024-07-22 07:48:57+00:00,in,,598,46,25721,27
tanyarlfes,ayo kita tmnan yuk guyss!! 💚 https://t.co/NJSHjsHiwD,2024-07-22 04:32:24+00:00,in,,327,453,63919,43
tanyarlfes,"💚 Ruby udah klarif minta maap aja, sebelum dicari Abidzar sering banget reply Asbun ke org org di X, ngatain orang orang di X seenak jidat 🥲, yang 1 Arkan belom menampakkan diri, sepertinya pengen dijemput Abidzar 🥴 https://t.co/kNk20pf9L2",2024-07-22 04:22:50+00:00,in,,1819,93,118290,65
tanyarlfes,💚 cowo kalo dia on wa tapi gabales chat kita itu kira2 dia ngapain ya? diluar jam kerja yah ini. plis yg positif thinking😭🙏,2024-07-21 17:35:37+00:00,in,,234,197,66708,8
tanyarlfes,"💚 rencananya sender mau keretaan PP ke Surabaya, tepatnya turun di Pasar Turi. Selisih waktu turun dan berangkat lagi sekitar 2,5jam.
Dalam 2jam mungkin ada rekomendasi tempat/kuliner dekat stasiun?",2024-07-21 16:24:50+00:00,in,,24,7,17221,1
tanyarlfes,"💚 akhirnya nikah tinggal bentar lagi bisa kelar juga nyicil seserahan hampir setaun cari diskonan huhu, maaf kalo ada produk boyc soalnya nyicil dari taun kemarin 🥹🙏 https://t.co/5IPfWHtkvu",2024-07-21 13:39:26+00:00,in,,10818,352,814584,568
tanyarlfes,💚 ah gila gila gubernur masa gitu ? https://t.co/6mxjOSAktz,2024-07-21 13:33:12+00:00,in,,3138,620,212251,237
tanyarlfes,💚 guyss serius nanyaa… aku gabut dan lg sedih jd pengen ngobrol sm org random. tadi iseng main bot anon di tel3 tp isiny gajelas semua. rekomen apk atau apa gt dong yg org orgnya jelas.,2024-07-21 13:03:24+00:00,in,,197,40,40079,6
tanyarlfes,💚 main tap2 poll yuk https://t.co/Rj6MWJ4x6Y,2024-07-21 12:05:35+00:00,in,,1498,620,342861,62
tanyarlfes,"💚 guys emg bener ya flight pake maskapai dr l**n group tu harus wrapping koper kalo pake koper fiber?
ntar lg mau flight pake itu soalnya😓",2024-07-21 12:04:56+00:00,in,,4,7,10109,0
tanyarlfes,💚 semi daily use buat rambut panjang mending yang mana ya guys? thank youuu https://t.co/nBMvx55ed4,2024-07-21 12:04:41+00:00,in,,19,16,11009,2
tanyarlfes,"💚 tanya dong aku bukan ip user, tp rencananya kalo udah ada rezeki pgn upgrade ke ip buat sambilan kerja (ngonten). Kalau mau beli online di lzd mending mana ya antara dua store ini? Yg toko ibox ini ori kan ya soalnya aku cek harga ip 13 di website selisihnya (cont) https://t.co/mJEnzyIC0P",2024-07-22 11:11:53+00:00,in,,27,21,11342,2
tanyarlfes,"💚 mau nanya dong buat kalian yang ngojol, kalau misalnya dapet customer yang minta tolong buat step-in motor karena mogok/minta temenin pulang krna takut pulang sendirian mau gak? Atau cancel? Sender penasaran hehe, tia 💗",2024-07-22 10:46:20+00:00,in,,8,7,6839,0
tanyarlfes,💚 ayo kasih tau sender lagu apa lagi yang harus ada di playlist iniii 😎 https://t.co/rqqejVdTMk,2024-07-22 09:58:19+00:00,in,,92,44,18262,7
tanyarlfes,"pernah ga nangis kangenin seseorang? kapan terakhir kali ngerasain itu? 

💚",2024-07-22 09:57:49+00:00,in,,204,258,38806,12
tanyarlfes,"Cowo sekarang masih ada yang mau sama cewe kulit sawo matang gak ? Lebih gelap dr kamu?

💚",2024-07-22 09:57:14+00:00,in,,100,51,27352,2
tanyarlfes,"sender masih sakit hati, kmren jalan sm cowo, trnyta dia cm nafsu aja, tp kmren dia ga ngomong apa2 cm td pagi doang dia ngomong klo dia itu nafsuan, trus sudahlah berakhir, sedih bgt gmn ya masalahnya itu first time sender jalan sm cowo 😞

💚",2024-07-22 09:56:31+00:00,in,,41,30,11695,1
tanyarlfes,"Tanyarl Aku beli papeda, pas nunggu ga sengaja liat di adonan telurnya kaya ada lalatnya.😭 soalnya diwarung belakangnya banyak lalat. Mending makan ga?😭 https://t.co/0WnfXxH17N",2024-07-22 09:47:45+00:00,in,,51,65,24258,2
tanyarlfes,💚 Nomor WA bisnis bisa diubah jadi wa pribadi nggak? Ada yang tau caranya? Tanpa ngeformat chatnya 🙇🏻‍♀️🙏🏻,2024-07-22 09:07:11+00:00,in,,11,15,12466,0
tanyarlfes,"💚 sekarang berasa lega &amp; enteng banget ambil keputusan ini. Biasanya bangun tidur habis bertengkar sedih/sembab, sekarang enteng dan gk kepikiran lagi https://t.co/nxAifL1FUT",2024-07-22 07:48:57+00:00,in,,598,46,25721,27
tanyarlfes,ayo kita tmnan yuk guyss!! 💚 https://t.co/NJSHjsHiwD,2024-07-22 04:32:24+00:00,in,,327,453,63919,43
tanyarlfes,"💚 Ruby udah klarif minta maap aja, sebelum dicari Abidzar sering banget reply Asbun ke org org di X, ngatain orang orang di X seenak jidat 🥲, yang 1 Arkan belom menampakkan diri, sepertinya pengen dijemput Abidzar 🥴 https://t.co/kNk20pf9L2",2024-07-22 04:22:50+00:00,in,,1819,93,118290,65
tanyarlfes,💚 cowo kalo dia on wa tapi gabales chat kita itu kira2 dia ngapain ya? diluar jam kerja yah ini. plis yg positif thinking😭🙏,2024-07-21 17:35:37+00:00,in,,234,197,66708,8
tanyarlfes,"💚 rencananya sender mau keretaan PP ke Surabaya, tepatnya turun di Pasar Turi. Selisih waktu turun dan berangkat lagi sekitar 2,5jam.
Dalam 2jam mungkin ada rekomendasi tempat/kuliner dekat stasiun?",2024-07-21 16:24:50+00:00,in,,24,7,17221,1
tanyarlfes,"💚 akhirnya nikah tinggal bentar lagi bisa kelar juga nyicil seserahan hampir setaun cari diskonan huhu, maaf kalo ada produk boyc soalnya nyicil dari taun kemarin 🥹🙏 https://t.co/5IPfWHtkvu",2024-07-21 13:39:26+00:00,in,,10818,352,814584,568
tanyarlfes,💚 ah gila gila gubernur masa gitu ? https://t.co/6mxjOSAktz,2024-07-21 13:33:12+00:00,in,,3138,620,212292,237
tanyarlfes,💚 guyss serius nanyaa… aku gabut dan lg sedih jd pengen ngobrol sm org random. tadi iseng main bot anon di tel3 tp isiny gajelas semua. rekomen apk atau apa gt dong yg org orgnya jelas.,2024-07-21 13:03:24+00:00,in,,197,40,40079,6
tanyarlfes,💚 main tap2 poll yuk https://t.co/Rj6MWJ4x6Y,2024-07-21 12:05:35+00:00,in,,1498,620,342861,62
tanyarlfes,"💚 guys emg bener ya flight pake maskapai dr l**n group tu harus wrapping koper kalo pake koper fiber?
ntar lg mau flight pake itu soalnya😓",2024-07-21 12:04:56+00:00,in,,4,7,10109,0
tanyarlfes,💚 semi daily use buat rambut panjang mending yang mana ya guys? thank youuu https://t.co/nBMvx55ed4,2024-07-21 12:04:41+00:00,in,,19,16,11009,2
tanyarlfes,"💚 tanya dong aku bukan ip user, tp rencananya kalo udah ada rezeki pgn upgrade ke ip buat sambilan kerja (ngonten). Kalau mau beli online di lzd mending mana ya antara dua store ini? Yg toko ibox ini ori kan ya soalnya aku cek harga ip 13 di website selisihnya (cont) https://t.co/mJEnzyIC0P",2024-07-22 11:11:53+00:00,in,,27,21,11342,2
tanyarlfes,"💚 mau nanya dong buat kalian yang ngojol, kalau misalnya dapet customer yang minta tolong buat step-in motor karena mogok/minta temenin pulang krna takut pulang sendirian mau gak? Atau cancel? Sender penasaran hehe, tia 💗",2024-07-22 10:46:20+00:00,in,,8,7,6839,0
tanyarlfes,💚 ayo kasih tau sender lagu apa lagi yang harus ada di playlist iniii 😎 https://t.co/rqqejVdTMk,2024-07-22 09:58:19+00:00,in,,92,44,18262,7
tanyarlfes,"pernah ga nangis kangenin seseorang? kapan terakhir kali ngerasain itu? 

💚",2024-07-22 09:57:49+00:00,in,,204,258,38806,12
tanyarlfes,"Cowo sekarang masih ada yang mau sama cewe kulit sawo matang gak ? Lebih gelap dr kamu?

💚",2024-07-22 09:57:14+00:00,in,,100,51,27352,2
tanyarlfes,"sender masih sakit hati, kmren jalan sm cowo, trnyta dia cm nafsu aja, tp kmren dia ga ngomong apa2 cm td pagi doang dia ngomong klo dia itu nafsuan, trus sudahlah berakhir, sedih bgt gmn ya masalahnya itu first time sender jalan sm cowo 😞

💚",2024-07-22 09:56:31+00:00,in,,41,30,11695,1
tanyarlfes,"Tanyarl Aku beli papeda, pas nunggu ga sengaja liat di adonan telurnya kaya ada lalatnya.😭 soalnya diwarung belakangnya banyak lalat. Mending makan ga?😭 https://t.co/0WnfXxH17N",2024-07-22 09:47:45+00:00,in,,51,65,24258,2
tanyarlfes,💚 Nomor WA bisnis bisa diubah jadi wa pribadi nggak? Ada yang tau caranya? Tanpa ngeformat chatnya 🙇🏻‍♀️🙏🏻,2024-07-22 09:07:11+00:00,in,,11,15,12466,0
tanyarlfes,"💚 sekarang berasa lega &amp; enteng banget ambil keputusan ini. Biasanya bangun tidur habis bertengkar sedih/sembab, sekarang enteng dan gk kepikiran lagi https://t.co/nxAifL1FUT",2024-07-22 07:48:57+00:00,in,,598,46,25721,27
tanyarlfes,ayo kita tmnan yuk guyss!! 💚 https://t.co/NJSHjsHiwD,2024-07-22 04:32:24+00:00,in,,327,453,63919,43
tanyarlfes,"💚 Ruby udah klarif minta maap aja, sebelum dicari Abidzar sering banget reply Asbun ke org org di X, ngatain orang orang di X seenak jidat 🥲, yang 1 Arkan belom menampakkan diri, sepertinya pengen dijemput Abidzar 🥴 https://t.co/kNk20pf9L2",2024-07-22 04:22:50+00:00,in,,1819,93,118290,65
tanyarlfes,💚 cowo kalo dia on wa tapi gabales chat kita itu kira2 dia ngapain ya? diluar jam kerja yah ini. plis yg positif thinking😭🙏,2024-07-21 17:35:37+00:00,in,,234,197,66708,8
tanyarlfes,"💚 rencananya sender mau keretaan PP ke Surabaya, tepatnya turun di Pasar Turi. Selisih waktu turun dan berangkat lagi sekitar 2,5jam.
Dalam 2jam mungkin ada rekomendasi tempat/kuliner dekat stasiun?",2024-07-21 16:24:50+00:00,in,,24,7,17221,1
tanyarlfes,"💚 akhirnya nikah tinggal bentar lagi bisa kelar juga nyicil seserahan hampir setaun cari diskonan huhu, maaf kalo ada produk boyc soalnya nyicil dari taun kemarin 🥹🙏 https://t.co/5IPfWHtkvu",2024-07-21 13:39:26+00:00,in,,10818,352,814584,568
tanyarlfes,💚 ah gila gila gubernur masa gitu ? https://t.co/6mxjOSAktz,2024-07-21 13:33:12+00:00,in,,3138,620,212292,237
tanyarlfes,💚 guyss serius nanyaa… aku gabut dan lg sedih jd pengen ngobrol sm org random. tadi iseng main bot anon di tel3 tp isiny gajelas semua. rekomen apk atau apa gt dong yg org orgnya jelas.,2024-07-21 13:03:24+00:00,in,,197,40,40079,6
tanyarlfes,💚 main tap2 poll yuk https://t.co/Rj6MWJ4x6Y,2024-07-21 12:05:35+00:00,in,,1498,620,342861,62
tanyarlfes,"💚 guys emg bener ya flight pake maskapai dr l**n group tu harus wrapping koper kalo pake koper fiber?
ntar lg mau flight pake itu soalnya😓",2024-07-21 12:04:56+00:00,in,,4,7,10109,0
tanyarlfes,💚 semi daily use buat rambut panjang mending yang mana ya guys? thank youuu https://t.co/nBMvx55ed4,2024-07-21 12:04:41+00:00,in,,19,16,11009,2
tanyarlfes,"💚 tanya dong aku bukan ip user, tp rencananya kalo udah ada rezeki pgn upgrade ke ip buat sambilan kerja (ngonten). Kalau mau beli online di lzd mending mana ya antara dua store ini? Yg toko ibox ini ori kan ya soalnya aku cek harga ip 13 di website selisihnya (cont) https://t.co/mJEnzyIC0P",2024-07-22 11:11:53+00:00,in,,27,21,11342,2
tanyarlfes,"💚 mau nanya dong buat kalian yang ngojol, kalau misalnya dapet customer yang minta tolong buat step-in motor karena mogok/minta temenin pulang krna takut pulang sendirian mau gak? Atau cancel? Sender penasaran hehe, tia 💗",2024-07-22 10:46:20+00:00,in,,8,7,6839,0
tanyarlfes,💚 ayo kasih tau sender lagu apa lagi yang harus ada di playlist iniii 😎 https://t.co/rqqejVdTMk,2024-07-22 09:58:19+00:00,in,,92,44,18262,7
tanyarlfes,"pernah ga nangis kangenin seseorang? kapan terakhir kali ngerasain itu? 

💚",2024-07-22 09:57:49+00:00,in,,204,258,38806,12
tanyarlfes,"Cowo sekarang masih ada yang mau sama cewe kulit sawo matang gak ? Lebih gelap dr kamu?

💚",2024-07-22 09:57:14+00:00,in,,100,51,27352,2
tanyarlfes,"sender masih sakit hati, kmren jalan sm cowo, trnyta dia cm nafsu aja, tp kmren dia ga ngomong apa2 cm td pagi doang dia ngomong klo dia itu nafsuan, trus sudahlah berakhir, sedih bgt gmn ya masalahnya itu first time sender jalan sm cowo 😞

💚",2024-07-22 09:56:31+00:00,in,,41,30,11695,1
tanyarlfes,"Tanyarl Aku beli papeda, pas nunggu ga sengaja liat di adonan telurnya kaya ada lalatnya.😭 soalnya diwarung belakangnya banyak lalat. Mending makan ga?😭 https://t.co/0WnfXxH17N",2024-07-22 09:47:45+00:00,in,,51,65,24258,2
tanyarlfes,💚 Nomor WA bisnis bisa diubah jadi wa pribadi nggak? Ada yang tau caranya? Tanpa ngeformat chatnya 🙇🏻‍♀️🙏🏻,2024-07-22 09:07:11+00:00,in,,11,15,12472,0
tanyarlfes,"💚 sekarang berasa lega &amp; enteng banget ambil keputusan ini. Biasanya bangun tidur habis bertengkar sedih/sembab, sekarang enteng dan gk kepikiran lagi https://t.co/nxAifL1FUT",2024-07-22 07:48:57+00:00,in,,598,46,25721,27
tanyarlfes,ayo kita tmnan yuk guyss!! 💚 https://t.co/NJSHjsHiwD,2024-07-22 04:32:24+00:00,in,,327,453,63919,43
tanyarlfes,"💚 Ruby udah klarif minta maap aja, sebelum dicari Abidzar sering banget reply Asbun ke org org di X, ngatain orang orang di X seenak jidat 🥲, yang 1 Arkan belom menampakkan diri, sepertinya pengen dijemput Abidzar 🥴 https://t.co/kNk20pf9L2",2024-07-22 04:22:50+00:00,in,,1819,93,118290,65
tanyarlfes,💚 cowo kalo dia on wa tapi gabales chat kita itu kira2 dia ngapain ya? diluar jam kerja yah ini. plis yg positif thinking😭🙏,2024-07-21 17:35:37+00:00,in,,234,197,66708,8
tanyarlfes,"💚 rencananya sender mau keretaan PP ke Surabaya, tepatnya turun di Pasar Turi. Selisih waktu turun dan berangkat lagi sekitar 2,5jam.
Dalam 2jam mungkin ada rekomendasi tempat/kuliner dekat stasiun?",2024-07-21 16:24:50+00:00,in,,24,7,17221,1
tanyarlfes,"💚 akhirnya nikah tinggal bentar lagi bisa kelar juga nyicil seserahan hampir setaun cari diskonan huhu, maaf kalo ada produk boyc soalnya nyicil dari taun kemarin 🥹🙏 https://t.co/5IPfWHtkvu",2024-07-21 13:39:26+00:00,in,,10819,352,814584,568
tanyarlfes,💚 ah gila gila gubernur masa gitu ? https://t.co/6mxjOSAktz,2024-07-21 13:33:12+00:00,in,,3138,620,212292,237
